Source,Target,Weight,Type
LM,VKR,1.74,excitatory
UKR,MYR,1.35,excitatory
TOR,BX,0.8,excitatory
AE,OT,0.24,excitatory
NI,OKL,1.56,excitatory
BA,XL,1.77,excitatory
UT,RGR,1.34,excitatory
WAL,CZL,0.44,excitatory
SE,SU,1.79,excitatory
RHR,NT,1.18,excitatory
SU,BRL,1.02,excitatory
WF,VF,0.22,excitatory
AE,ESR,1.26,excitatory
VAL,YBL,1.43,excitatory
XIR,CZL,1.12,excitatory
MXR,YB,0.37,excitatory
LTR,PJL,0.83,excitatory
YB,EM,0.87,excitatory
TFR,CBR,0.18,excitatory
NPR,DFL,1.08,excitatory
ZCL,ML,0.74,excitatory
TU,VW,0.92,excitatory
DGL,HI,1.91,excitatory
UB,RRR,0.66,excitatory
CZL,GZ,1.87,excitatory
NI,WSL,0.2,excitatory
HLL,ZR,1.75,excitatory
LX,IJR,1.11,excitatory
GCR,HK,1.08,excitatory
FZR,VF,0.32,excitatory
HA,WUR,1.7,excitatory
FJR,SBL,0.89,excitatory
ASL,UB,1.04,excitatory
YUL,IER,1.56,excitatory
AS,AKR,0.61,excitatory
UVL,MYR,1.12,excitatory
OJR,NV,0.47,excitatory
HER,WFR,0.74,excitatory
XV,WH,1.58,excitatory
FKR,KS,1.57,excitatory
HK,GER,0.25,excitatory
HW,VUL,0.28,excitatory
FXL,GJL,1.65,excitatory
KIR,KG,0.52,excitatory
WF,TOL,0.48,excitatory
DML,HER,0.91,excitatory
SRR,JR,1.0,excitatory
HFR,GER,0.2,excitatory
CJ,NKL,1.97,excitatory
OCR,JAL,1.75,excitatory
FXL,FMR,1.05,excitatory
FR,EUR,1.84,excitatory
RGR,IRL,0.66,excitatory
WUR,MXR,1.06,excitatory
XML,IYL,0.16,excitatory
DU,PSR,1.35,excitatory
FFR,HK,0.16,excitatory
LIR,NT,1.68,excitatory
XHL,CRL,0.9,excitatory
IPL,LTR,0.5,excitatory
HW,XIR,0.53,excitatory
KM,CX,1.09,excitatory
WDL,EDR,1.02,excitatory
CIL,HDL,0.5,excitatory
XE,BTR,1.8,excitatory
JRR,VZ,1.3,excitatory
ZT,AKR,0.45,excitatory
WLR,GCR,0.73,excitatory
VC,WB,0.8,excitatory
SBL,DML,1.81,excitatory
MPR,GU,1.28,excitatory
UOL,SD,0.59,excitatory
KM,SU,0.86,excitatory
MZ,IER,0.56,excitatory
RSR,OHR,1.61,excitatory
MXR,GE,1.55,excitatory
ECL,NI,1.33,excitatory
SE,NI,0.76,excitatory
YZL,UVL,0.72,excitatory
LTR,KRR,1.63,excitatory
YBL,WUR,0.16,excitatory
DUL,MLR,1.57,excitatory
LH,IO,1.13,excitatory
LXR,EZL,1.57,excitatory
WS,YUL,1.13,excitatory
SBL,FZR,0.61,excitatory
GE,XT,1.83,excitatory
IDR,BER,0.4,excitatory
GD,WJ,0.75,excitatory
PJL,JO,0.7,excitatory
AE,IYL,1.67,excitatory
CZL,FXL,1.39,excitatory
LTR,GUL,0.44,excitatory
OHR,TJ,1.04,excitatory
